run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat
bfs_stride_default_l1d_ddr4_1x,bfs,stride,default,l1d,ddr4_1x,0.020682,20681795169.0,30729211.0,31124590.0,62107493.0,0.494775,5229582.0,11431182.0,1570261.0,3720765.0,202751875147.0,38770.187588,125293525660.0,79791.528708,1809486.0,282128.0,6.413706,0.0,0.0,nan,2087885.0,3141697.0,0.274836,35619.107821,nan,1570261.0,0.422026,79458.528708,6.0,57.41,0.0,0.0,4859189793.671048,481756245.9439905,4859186699.0,481756246.0,5340942945.0,19207.0,4841.764614,481.487024,34974.25,3332.0,52466.25,8774099.0,52.569668,102.007414,122032.0,2.0,1734.0,12769535.0,1561537.0,225039.0,171084.0,0.144114,0.066842,982691.0,369743.0,612938.0,10.0,2270782.0,466889.0,0.0,102086.0,82.0,91622.0,34699.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23270784.0,1125182016.8338501,363963.0,51001.49,nan,nan,nan,nan
bfs_stride_default_l1d_ddr4_2x,bfs,stride,default,l1d,ddr4_2x,0.018619,18618579783.0,30729211.0,31124590.0,55911651.0,0.549604,5145970.0,11352656.0,1569162.0,3720031.0,169903268306.0,33016.762303,101722993685.0,64826.317286,1235102.0,213679.0,5.780175,0.0,0.0,nan,2004420.0,3141550.0,0.276724,29994.245167,nan,1569162.0,0.421814,64493.317286,3.135,57.065,0.0,0.0,5393882517.918795,535080125.1283603,5393879080.0,535080125.0,5928959205.0,38414.0,5362.849431000001,534.01796,20034.495000000003,3332.0,37526.494999999995,8774099.0,45.669246,88.724062,46302.0,2.0,1691.0,12672534.0,1624999.0,228574.0,170049.0,0.140661,0.067824,1046757.0,419063.0,627688.0,6.0,2245273.0,405569.0,0.0,93992.0,37.0,90363.0,35484.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23194240.0,1245757746.8490844,363238.0,34812.925,nan,nan,nan,nan
bfs_stride_default_l2_ddr4_1x,bfs,stride,default,l2,ddr4_1x,0.021443,21442858011.0,30729211.0,31124590.0,64392967.0,0.477214,6558838.0,11433907.0,1275419.0,3530195.0,211733211501.0,32282.122458,101203944226.0,79349.566085,1003819.0,78981.0,12.709626,13149.0,512.0,25.681641,3028870.0,3529968.0,0.308728,33333.689054,60865.0,1214554.0,0.344047,80042.076414,5.89,57.55,0.0,0.0,4696448577.346315,462806963.2746308,4696445593.0,462806963.0,5159252556.0,19207.0,4680.047779,462.520434,34659.86,3332.0,52151.86,8774099.0,55.383228,103.310519,129591.0,2.0,1741.0,12789416.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1146942.0,215245.0,82845.0,0.187669,0.150542,787977.0,430496.0,357481.0,0.0,1159534.0,7802.0,0.0,2453.0,0.0,46750.0,33679.0,nan,nan,nan,nan,22963008.0,1070893067.902617,358857.0,48689.76
bfs_stride_default_l2_ddr4_2x,bfs,stride,default,l2,ddr4_2x,0.019193,19193138316.0,30729211.0,31124590.0,57637052.0,0.533151,6534306.0,11358445.0,1273326.0,3530272.0,177253869023.0,27126.655688,82063559849.0,64448.193039,668723.0,65778.0,10.166363,6726.0,304.0,22.125,3004273.0,3530033.0,0.310785,27956.688083,58536.0,1214790.0,0.344107,65329.778387,3.09,57.099999999999994,0.0,0.0,5243467240.378532,517044781.1407311,5243463906.0,517044781.0,5760508687.0,38414.0,5213.483191,515.947723,19869.89,3332.0,37361.89,8774099.0,47.998644,88.492933,47157.0,2.0,1677.0,12700650.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1144358.0,217106.0,82032.0,0.189719,0.151621,786671.0,440856.0,345815.0,0.0,1156453.0,7061.0,0.0,2554.0,0.0,46659.0,33937.0,nan,nan,nan,nan,22874624.0,1191812595.907309,357580.0,33504.09
bfs_stride_deg16_dist16_l1d_ddr4_1x,bfs,stride,deg16_dist16,l1d,ddr4_1x,0.024087,24087142080.0,30729211.0,31124590.0,72333760.0,0.424826,6378910.0,11436409.0,1719650.0,4042949.0,253405066408.0,39725.449396,141366865900.0,82206.766435,2070653.0,297413.0,6.962214,0.0,0.0,nan,3002272.0,3376638.0,0.295253,36506.66129,nan,1719650.0,0.425345,81873.766435,6.09,57.35,0.0,0.0,4569145797.142241,414277126.2301617,4569143140.0,414277126.0,4983420266.0,19207.0,4554.72084,413.998139,37381.86,3332.0,54873.86,8774099.0,68.915885,112.261608,189576.0,2.0,1771.0,12823628.0,3094997.0,195334.0,459861.0,0.063113,0.054685,2428910.0,2094244.0,333993.0,673.0,5430448.0,2072092.0,0.0,8232.0,141584.0,3234016.0,1516792.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23802432.0,988179997.4835371,372212.0,63908.84,nan,nan,nan,nan
bfs_stride_deg16_dist16_l1d_ddr4_2x,bfs,stride,deg16_dist16,l1d,ddr4_2x,0.021365,21365471142.0,30729211.0,31124590.0,64160574.0,0.478943,6290102.0,11358302.0,1703356.0,4029580.0,212680139476.0,33811.87451,111380013969.0,65388.570545,1433074.0,248560.0,5.765505,0.0,0.0,nan,2916864.0,3373238.0,0.296984,30561.954817,nan,1703356.0,0.422713,65055.570545,3.17,57.1,0.0,0.0,5102384463.017989,467080362.2197044,5102381467.0,467080363.0,5569461830.0,38414.0,5075.4310669999995,466.049915,20582.555,3332.0,38074.555,8774099.0,59.242797,96.355953,62984.0,2.0,1665.0,12728901.0,3107088.0,198369.0,447749.0,0.063844,0.055541,2450973.0,2136602.0,313658.0,713.0,5307957.0,1956455.0,0.0,7742.0,126678.0,3193963.0,1535276.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22991808.0,1076119868.6980023,359953.0,40092.925,nan,nan,nan,nan
bfs_stride_deg16_dist16_l2_ddr4_1x,bfs,stride,deg16_dist16,l2,ddr4_1x,0.024799,24798788055.0,30729211.0,31124590.0,74470835.0,0.412635,7040298.0,11456438.0,1357677.0,3528543.0,268170096726.0,38090.730922,109361061240.0,80550.131762,1018490.0,94123.0,10.820841,297461.0,10359.0,28.715223,3511660.0,3528638.0,0.308005,35795.123081,5100.0,1352577.0,0.383325,80329.068491,6.51,57.7,0.0,0.0,4475470323.543599,401026049.25464773,4475467743.0,401026049.0,4876493792.0,19207.0,4461.474801,400.780876,40148.91,3332.0,57640.91,8774099.0,72.450317,117.83691,282637.0,2.0,2253.0,12840292.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2614092.0,166992.0,209419.0,0.063881,0.109894,2232510.0,1987655.0,244850.0,5.0,2948778.0,298518.0,0.0,1489.0,24509.0,1836134.0,1367958.0,nan,nan,nan,nan,24416128.0,984569404.9986912,381582.0,72496.36
bfs_stride_deg16_dist16_l2_ddr4_2x,bfs,stride,deg16_dist16,l2,ddr4_2x,0.021926,21926467584.0,30729211.0,31124590.0,65845248.0,0.466689,6960226.0,11381255.0,1353894.0,3522537.0,223487722823.0,32109.262375,88965531705.0,65710.854546,759092.0,80644.0,9.412876,181520.0,8400.0,21.609524,3437725.0,3522501.0,0.3095,30033.988444,2481.0,1351413.0,0.383648,65435.666135,3.41,57.015,0.0,0.0,5049850167.420383,453547930.68705547,5049847249.0,453547931.0,5503395180.0,38414.0,5023.656435999999,452.523416,22502.095,3332.0,39994.095,8774099.0,61.921759,99.471881,84402.0,2.0,1777.0,12753232.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2740568.0,170103.0,206035.0,0.062069,0.111798,2361898.0,2091515.0,270372.0,11.0,2941401.0,184136.0,0.0,659.0,8309.0,1830279.0,1407302.0,nan,nan,nan,nan,24221824.0,1104684277.4471774,378670.0,45041.354999999996
bfs_stride_deg16_dist1_l1d_ddr4_1x,bfs,stride,deg16_dist1,l1d,ddr4_1x,0.021516,21516423039.0,30729211.0,31124590.0,64613883.0,0.475583,5001235.0,11432582.0,1773126.0,4069404.0,206560279230.0,41301.854288,148824483815.0,83933.394364,2842142.0,493484.0,5.75934,0.0,0.0,nan,1801527.0,3199708.0,0.279876,36677.925763,nan,1773126.0,0.435721,83600.394364,6.72,57.52,0.0,0.0,5274116789.501184,464249656.2692722,5274113815.0,464249656.0,5738363471.0,19207.0,5257.71555,463.987903,39070.84,3332.0,56562.84,8774099.0,55.314934,106.408821,170452.0,2.0,1802.0,12767507.0,3997573.0,302754.0,476002.0,0.075734,0.08644,3128101.0,2510831.0,616676.0,594.0,7238972.0,2857392.0,0.0,132388.0,140984.0,1276756.0,842472.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32383040.0,1505038265.0175407,506370.0,63897.19,nan,nan,nan,nan
bfs_stride_deg16_dist1_l1d_ddr4_2x,bfs,stride,deg16_dist1,l1d,ddr4_2x,0.018938,18938053989.0,30729211.0,31124590.0,56871033.0,0.540332,4915288.0,11348576.0,1772472.0,4072965.0,170165514874.0,34619.642811,117052537974.0,66039.146443,1894711.0,412349.0,4.594921,0.0,0.0,nan,1720031.0,3195257.0,0.281556,30778.812985,nan,1772472.0,0.43518,65706.146443,3.375,57.105000000000004,0.0,0.0,5989964547.882776,527574375.16036856,5989961168.0,527574376.0,6517535544.0,38414.0,5959.721947,526.290188,21182.879999999997,3332.0,38674.880000000005,8774099.0,46.725234,89.977872,50470.0,2.0,1650.0,12668602.0,4158488.0,309313.0,479048.0,0.074381,0.08826,3281007.0,2663704.0,616669.0,634.0,7180963.0,2668966.0,0.0,124026.0,130469.0,1261101.0,861897.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32408256.0,1711276988.5873199,507180.0,39388.774999999994,nan,nan,nan,nan
